experiment_id,station_id,session_id,power_start_utc,power_end_utc,operation_start_utc,operation_end_utc,temporal_overlap_seconds,power_before_first_operation_seconds,power_after_last_operation_seconds
Exp20190124,70,Exp20190124-S70-002,2019-01-24T09:50:51.225000+00:00,2019-01-24T09:59:32.249000+00:00,2019-01-24T09:50:50.687000+00:00,2019-01-24T09:59:32.675000+00:00,521.024,0,0
Exp20190124,80,Exp20190124-S80-001,2019-01-24T09:18:25.958000+00:00,2019-01-24T09:30:37.977000+00:00,2019-01-24T09:18:25.553000+00:00,2019-01-24T09:30:38.489000+00:00,732.019,0,0
Exp20190124,80,Exp20190124-S80-002,2019-01-24T09:51:07.962000+00:00,2019-01-24T09:59:51.964000+00:00,2019-01-24T09:51:07.961000+00:00,2019-01-24T09:59:52.419000+00:00,524.002,0,0
Exp20190320,10,Exp20190320-S10-001,2019-03-20T14:45:34.193000+00:00,2019-03-20T14:59:02.357000+00:00,2019-03-20T14:45:33.954000+00:00,2019-03-20T14:59:03.030000+00:00,808.164,0,0
Exp20190320,10,Exp20190320-S10-002,2019-03-20T15:03:28.294000+00:00,2019-03-20T15:03:48.383000+00:00,2019-03-20T15:03:28.020000+00:00,2019-03-20T15:03:48.603000+00:00,20.089,0,0
Exp20190320,10,Exp20190320-S10-003,2019-03-20T16:05:54.189000+00:00,2019-03-20T16:14:50.245000+00:00,2019-03-20T16:05:53.948000+00:00,2019-03-20T16:14:50.888000+00:00,536.056,0,0
Exp20190320,20,Exp20190320-S20-001,2019-03-20T14:45:40.662000+00:00,2019-03-20T14:55:02.866000+00:00,2019-03-20T14:45:40.221000+00:00,2019-03-20T14:55:03.810000+00:00,562.204,0,0
Exp20190320,20,Exp20190320-S20-002,2019-03-20T14:59:02.759000+00:00,2019-03-20T14:59:47.838000+00:00,2019-03-20T14:59:02.312000+00:00,2019-03-20T14:59:48.322000+00:00,45.079,0,0
Exp20190320,20,Exp20190320-S20-003,2019-03-20T16:06:02.716000+00:00,2019-03-20T16:13:17.797000+00:00,2019-03-20T16:06:02.231000+00:00,2019-03-20T16:13:18.218000+00:00,435.081,0,0
Exp20190320,30,Exp20190320-S30-001,2019-03-20T14:50:40.024000+00:00,2019-03-20T14:55:22.128000+00:00,2019-03-20T14:50:39.493000+00:00,2019-03-20T14:55:22.509000+00:00,282.104,0,0
Exp20190320,30,Exp20190320-S30-002,2019-03-20T14:59:46.073000+00:00,2019-03-20T15:00:06.092000+00:00,2019-03-20T14:59:45.987000+00:00,2019-03-20T15:00:06.998000+00:00,20.019,0,0
Exp20190320,30,Exp20190320-S30-003,2019-03-20T16:06:19.098000+00:00,2019-03-20T16:10:55.059000+00:00,2019-03-20T16:06:18.865000+00:00,2019-03-20T16:10:55.314000+00:00,275.961,0,0
Exp20190320,60,Exp20190320-S60-001,2019-03-20T14:53:20.652000+00:00,2019-03-20T14:57:54.661000+00:00,2019-03-20T14:53:19.859000+00:00,2019-03-20T14:57:54.743000+00:00,274.009,0,0
Exp20190320,60,Exp20190320-S60-002,2019-03-20T15:02:24.632000+00:00,2019-03-20T15:02:36.586000+00:00,2019-03-20T15:02:23.759000+00:00,2019-03-20T15:02:37.238000+00:00,11.954,0,0
Exp20190320,60,Exp20190320-S60-003,2019-03-20T16:08:59.569000+00:00,2019-03-20T16:13:25.596000+00:00,2019-03-20T16:08:58.691000+00:00,2019-03-20T16:13:26.086000+00:00,266.027,0,0
Exp20190320,70,Exp20190320-S70-001,2019-03-20T14:53:33.385000+00:00,2019-03-20T14:58:10.443000+00:00,2019-03-20T14:53:32.806000+00:00,2019-03-20T14:58:11.250000+00:00,277.058,0,0
Exp20190320,70,Exp20190320-S70-002,2019-03-20T15:02:37.411000+00:00,2019-03-20T15:02:53.434000+00:00,2019-03-20T15:02:36.723000+00:00,2019-03-20T15:02:54.252000+00:00,16.023,0,0
Exp20190320,70,Exp20190320-S70-003,2019-03-20T16:09:12.337000+00:00,2019-03-20T16:13:42.342000+00:00,2019-03-20T16:09:12.140000+00:00,2019-03-20T16:13:42.585000+00:00,270.005,0,0
Exp20190320,80,Exp20190320-S80-001,2019-03-20T14:53:50.714000+00:00,2019-03-20T14:58:31.772000+00:00,2019-03-20T14:53:49.806000+00:00,2019-03-20T14:58:32.190000+00:00,281.058,0,0
Exp20190320,80,Exp20190320-S80-002,2019-03-20T15:02:53.714000+00:00,2019-03-20T15:03:13.706000+00:00,2019-03-20T15:02:53.686000+00:00,2019-03-20T15:03:14.179000+00:00,19.992,0,0
Exp20190320,80,Exp20190320-S80-003,2019-03-20T16:09:29.636000+00:00,2019-03-20T16:14:02.646000+00:00,2019-03-20T16:09:29.089000+00:00,2019-03-20T16:14:03.013000+00:00,273.01,0,0
Exp20190416,10,Exp20190416-S10-001,2019-04-16T07:27:06.671000+00:00,2019-04-16T07:35:12.951000+00:00,2019-04-16T07:27:06.400000+00:00,2019-04-16T07:35:13.616000+00:00,486.28,0,0
Exp20190416,10,Exp20190416-S10-002,2019-04-16T08:18:17.956000+00:00,2019-04-16T09:16:23.846000+00:00,2019-04-16T08:18:17.168000+00:00,2019-04-16T09:16:24.042000+00:00,3485.89,0,0
Exp20190416,10,Exp20190416-S10-003,2019-04-16T12:26:25.773000+00:00,2019-04-16T16:44:05.169000+00:00,2019-04-16T12:26:24.870000+00:00,2019-04-16T16:44:05.724000+00:00,15459.396,0,0
Exp20190416,20,Exp20190416-S20-001,2019-04-16T07:28:37.651000+00:00,2019-04-16T07:35:22.998000+00:00,2019-04-16T07:28:36.842000+00:00,2019-04-16T07:35:23.526000+00:00,405.347,0,0
Exp20190416,20,Exp20190416-S20-002,2019-04-16T08:18:25.713000+00:00,2019-04-16T09:16:22.725000+00:00,2019-04-16T08:18:24.955000+00:00,2019-04-16T09:16:22.777000+00:00,3477.012,0,0
Exp20190416,20,Exp20190416-S20-003,2019-04-16T12:26:33.013000+00:00,2019-04-16T12:26:43.085000+00:00,2019-04-16T12:26:32.963000+00:00,2019-04-16T12:26:43.961000+00:00,10.072,0,0
Exp20190416,20,Exp20190416-S20-004,2019-04-16T13:30:24.617000+00:00,2019-04-16T16:44:05.417000+00:00,2019-04-16T13:30:23.910000+00:00,2019-04-16T16:44:05.986000+00:00,11620.8,0,0
Exp20190416,30,Exp20190416-S30-001,2019-04-16T07:28:47.527000+00:00,2019-04-16T07:35:22.771000+00:00,2019-04-16T07:28:47.432000+00:00,2019-04-16T07:35:23.149000+00:00,395.244,0,0
Exp20190416,30,Exp20190416-S30-002,2019-04-16T08:18:35.208000+00:00,2019-04-16T09:15:34.224000+00:00,2019-04-16T08:18:34.947000+00:00,2019-04-16T09:15:34.301000+00:00,3419.016,0,0
Exp20190416,30,Exp20190416-S30-003,2019-04-16T12:26:44.688000+00:00,2019-04-16T16:39:50.919000+00:00,2019-04-16T12:26:43.797000+00:00,2019-04-16T16:39:51.497000+00:00,15186.231,0,0
Exp20190416,50,Exp20190416-S50-001,2019-04-16T13:33:01.663000+00:00,2019-04-16T16:40:21.510000+00:00,2019-04-16T13:33:01.264000+00:00,2019-04-16T16:40:21.785000+00:00,11239.847,0,0
Exp20190416,60,Exp20190416-S60-001,2019-04-16T07:29:15.937000+00:00,2019-04-16T07:34:06.133000+00:00,2019-04-16T07:29:15.203000+00:00,2019-04-16T07:34:06.334000+00:00,290.196,0,0
Exp20190416,60,Exp20190416-S60-002,2019-04-16T08:18:48.974000+00:00,2019-04-16T09:16:05.855000+00:00,2019-04-16T08:18:48.745000+00:00,2019-04-16T09:16:06.104000+00:00,3436.881,0,0
Exp20190416,60,Exp20190416-S60-003,2019-04-16T12:30:03.451000+00:00,2019-04-16T16:42:23.475000+00:00,2019-04-16T12:30:03.434000+00:00,2019-04-16T16:42:23.609000+00:00,15140.024,0,0
Exp20190416,70,Exp20190416-S70-001,2019-04-16T07:29:25.160000+00:00,2019-04-16T07:34:15.335000+00:00,2019-04-16T07:29:25.146000+00:00,2019-04-16T07:34:16.335000+00:00,290.175,0,0
Exp20190416,70,Exp20190416-S70-002,2019-04-16T08:18:59.597000+00:00,2019-04-16T09:16:15.624000+00:00,2019-04-16T08:18:58.919000+00:00,2019-04-16T09:16:16.271000+00:00,3436.027,0,0
Exp20190416,70,Exp20190416-S70-003,2019-04-16T12:30:16.347000+00:00,2019-04-16T16:42:39.983000+00:00,2019-04-16T12:30:16.300000+00:00,2019-04-16T16:42:40.653000+00:00,15143.636,0,0
Exp20190416,80,Exp20190416-S80-001,2019-04-16T07:29:35.469000+00:00,2019-04-16T07:34:32.612000+00:00,2019-04-16T07:29:35.306000+00:00,2019-04-16T07:34:32.943000+00:00,297.143,0,0
Exp20190416,80,Exp20190416-S80-002,2019-04-16T08:19:09.812000+00:00,2019-04-16T09:16:22.875000+00:00,2019-04-16T08:19:09.314000+00:00,2019-04-16T09:16:23.655000+00:00,3433.063,0,0
Exp20190416,80,Exp20190416-S80-003,2019-04-16T12:30:27.594000+00:00,2019-04-16T16:42:59.005000+00:00,2019-04-16T12:30:26.992000+00:00,2019-04-16T16:42:59.886000+00:00,15151.411,0,0
Exp20190514,10,Exp20190514-S10-001,2019-05-14T07:36:18.972000+00:00,2019-05-14T08:04:43.657000+00:00,2019-05-14T07:36:18.338000+00:00,2019-05-14T08:04:44.542000+00:00,1704.685,0,0
Exp20190514,10,Exp20190514-S10-002,2019-05-14T08:15:18.572000+00:00,2019-05-14T10:59:34.401000+00:00,2019-05-14T08:15:17.891000+00:00,2019-05-14T10:59:34.499000+00:00,9855.829,0,0
Exp20190514,20,Exp20190514-S20-001,2019-05-14T07:36:28.702000+00:00,2019-05-14T08:00:55.380000+00:00,2019-05-14T07:36:27.779000+00:00,2019-05-14T08:00:55.389000+00:00,1466.678,0,0
Exp20190514,20,Exp20190514-S20-002,2019-05-14T08:18:57.299000+00:00,2019-05-14T09:16:11.289000+00:00,2019-05-14T08:18:56.866000+00:00,2019-05-14T09:16:12.242000+00:00,3433.99,0,0
Exp20190514,20,Exp20190514-S20-003,2019-05-14T09:25:32.228000+00:00,2019-05-14T10:59:41.125000+00:00,2019-05-14T09:25:32.226000+00:00,2019-05-14T10:59:41.996000+00:00,5648.897,0,0
Exp20190514,30,Exp20190514-S30-001,2019-05-14T07:36:45.502000+00:00,2019-05-14T08:01:14.131000+00:00,2019-05-14T07:36:44.968000+00:00,2019-05-14T08:01:14.540000+00:00,1468.629,0,0
Exp20190514,30,Exp20190514-S30-002,2019-05-14T08:19:14.078000+00:00,2019-05-14T09:16:31.048000+00:00,2019-05-14T08:19:14.007000+00:00,2019-05-14T09:16:31.894000+00:00,3436.97,0,0
Exp20190514,30,Exp20190514-S30-003,2019-05-14T09:25:50.316000+00:00,2019-05-14T10:55:27.868000+00:00,2019-05-14T09:25:49.471000+00:00,2019-05-14T10:55:28.611000+00:00,5377.552,0,0
Exp20190514,50,Exp20190514-S50-001,2019-05-14T09:26:37.381000+00:00,2019-05-14T10:55:59.318000+00:00,2019-05-14T09:26:37.079000+00:00,2019-05-14T10:55:59.322000+00:00,5361.937,0,0
Exp20190514,60,Exp20190514-S60-001,2019-05-14T07:39:28.025000+00:00,2019-05-14T08:03:47.629000+00:00,2019-05-14T07:39:27.289000+00:00,2019-05-14T08:03:48.299000+00:00,1459.604,0,0
Exp20190514,60,Exp20190514-S60-002,2019-05-14T08:19:50.552000+00:00,2019-05-14T09:19:05.529000+00:00,2019-05-14T08:19:50.268000+00:00,2019-05-14T09:19:06.098000+00:00,3554.977,0,0
Exp20190514,60,Exp20190514-S60-003,2019-05-14T09:26:58.528000+00:00,2019-05-14T10:58:28.375000+00:00,2019-05-14T09:26:57.587000+00:00,2019-05-14T10:58:28.380000+00:00,5489.847,0,0
Exp20190514,70,Exp20190514-S70-001,2019-05-14T07:39:40.640000+00:00,2019-05-14T08:04:04.349000+00:00,2019-05-14T07:39:40.115000+00:00,2019-05-14T08:04:05.109000+00:00,1463.709,0,0
Exp20190514,70,Exp20190514-S70-002,2019-05-14T08:20:00.183000+00:00,2019-05-14T09:19:22.225000+00:00,2019-05-14T08:20:00.050000+00:00,2019-05-14T09:19:22.918000+00:00,3562.042,0,0
Exp20190514,70,Exp20190514-S70-003,2019-05-14T09:27:08.118000+00:00,2019-05-14T10:58:45.189000+00:00,2019-05-14T09:27:07.451000+00:00,2019-05-14T10:58:45.192000+00:00,5497.071,0,0
Exp20190514,80,Exp20190514-S80-001,2019-05-14T07:39:57.597000+00:00,2019-05-14T08:04:24.140000+00:00,2019-05-14T07:39:57.556000+00:00,2019-05-14T08:04:25.024000+00:00,1466.543,0,0
Exp20190514,80,Exp20190514-S80-002,2019-05-14T08:20:11.043000+00:00,2019-05-14T09:19:42.054000+00:00,2019-05-14T08:20:10.516000+00:00,2019-05-14T09:19:42.847000+00:00,3571.011,0,0
Exp20190514,80,Exp20190514-S80-003,2019-05-14T09:27:17.953000+00:00,2019-05-14T10:59:04.906000+00:00,2019-05-14T09:27:17.882000+00:00,2019-05-14T10:59:05.108000+00:00,5506.953,0,0
Exp20190617,10,Exp20190617-S10-001,2019-06-17T08:03:29.715000+00:00,2019-06-17T10:06:47.149000+00:00,2019-06-17T08:03:29.236000+00:00,2019-06-17T10:06:47.967000+00:00,7397.434,0,0
Exp20190617,10,Exp20190617-S10-002,2019-06-17T12:03:10.874000+00:00,2019-06-17T12:26:44.894000+00:00,2019-06-17T12:03:10.170000+00:00,2019-06-17T12:26:45.105000+00:00,1414.02,0,0
Exp20190617,20,Exp20190617-S20-001,2019-06-17T08:03:38.926000+00:00,2019-06-17T09:59:03.380000+00:00,2019-06-17T08:03:38.552000+00:00,2019-06-17T09:59:04.301000+00:00,6924.454,0,0
Exp20190617,20,Exp20190617-S20-002,2019-06-17T12:03:53.169000+00:00,2019-06-17T12:26:55.181000+00:00,2019-06-17T12:03:52.532000+00:00,2019-06-17T12:26:55.479000+00:00,1382.012,0,0
Exp20190617,30,Exp20190617-S30-001,2019-06-17T08:03:49.101000+00:00,2019-06-17T09:59:14.538000+00:00,2019-06-17T08:03:48.948000+00:00,2019-06-17T09:59:14.674000+00:00,6925.437,0,0
Exp20190617,30,Exp20190617-S30-002,2019-06-17T11:59:34.554000+00:00,2019-06-17T12:27:05.284000+00:00,2019-06-17T11:59:34.515000+00:00,2019-06-17T12:27:05.815000+00:00,1650.73,0,0
Exp20190617,50,Exp20190617-S50-001,2019-06-17T08:06:19.468000+00:00,2019-06-17T09:59:44.838000+00:00,2019-06-17T08:06:19.355000+00:00,2019-06-17T09:59:45.005000+00:00,6805.37,0,0
Exp20190617,50,Exp20190617-S50-002,2019-06-17T12:00:10.631000+00:00,2019-06-17T12:16:34.634000+00:00,2019-06-17T12:00:09.745000+00:00,2019-06-17T12:16:34.652000+00:00,984.003,0,0
Exp20190617,60,Exp20190617-S60-001,2019-06-17T08:04:17.743000+00:00,2019-06-17T10:04:32.170000+00:00,2019-06-17T08:04:17.472000+00:00,2019-06-17T10:04:32.666000+00:00,7214.427,0,0
Exp20190617,60,Exp20190617-S60-002,2019-06-17T12:02:08.018000+00:00,2019-06-17T12:27:35.036000+00:00,2019-06-17T12:02:07.391000+00:00,2019-06-17T12:27:35.315000+00:00,1527.018,0,0
Exp20190617,70,Exp20190617-S70-001,2019-06-17T08:04:28.220000+00:00,2019-06-17T10:04:48.686000+00:00,2019-06-17T08:04:27.591000+00:00,2019-06-17T10:04:49.299000+00:00,7220.466,0,0
Exp20190617,70,Exp20190617-S70-002,2019-06-17T12:02:20.465000+00:00,2019-06-17T12:27:45.467000+00:00,2019-06-17T12:02:20.041000+00:00,2019-06-17T12:27:45.492000+00:00,1525.002,0,0
Exp20190617,80,Exp20190617-S80-001,2019-06-17T08:04:38.847000+00:00,2019-06-17T10:05:16.198000+00:00,2019-06-17T08:04:38.167000+00:00,2019-06-17T10:05:16.864000+00:00,7237.351,0,0
Exp20190617,80,Exp20190617-S80-002,2019-06-17T12:02:37.087000+00:00,2019-06-17T12:27:55.099000+00:00,2019-06-17T12:02:37.072000+00:00,2019-06-17T12:27:56.019000+00:00,1518.012,0,0
